kind,name,cat,t_start_ms,t_end_ms,dur_ms
span,wsm.wait_group_ready,wsm,46781.387406,46781.392676,0.00527
span,wsm.wait_group_ready,wsm,46956.209217,46956.212366,0.003149
span,wsm.wait_group_ready,wsm,47335.193109,47335.198118,0.005009
span,wsm.wait_group_ready,wsm,47501.21427,47501.217311,0.003041
span,wsm.wait_group_ready,wsm,47874.953986,47874.958756,0.00477
span,wsm.wait_group_ready,wsm,48065.308114,48065.313378,0.005264
span,wsm.wait_group_ready,wsm,48439.163407,48439.169379,0.005972
span,wsm.wait_group_ready,wsm,48607.455038,48607.458264,0.003226
span,wsm.wait_group_ready,wsm,48982.33767,48982.343036,0.005366
span,wsm.wait_group_ready,wsm,49167.4063,49167.411478,0.005178
span,wsm.wait_group_ready,wsm,49541.540704,49541.545984,0.00528
span,wsm.wait_group_ready,wsm,49710.310108,49710.313915,0.003807
span,wsm.wait_group_ready,wsm,50088.875623,50088.88207,0.006447
span,wsm.wait_group_ready,wsm,50260.538185,50260.543372,0.005187
span,wsm.wait_group_ready,wsm,50634.483477,50634.489642,0.006165
span,wsm.wait_group_ready,wsm,50802.920754,50802.924067,0.003313
span,wsm.wait_group_ready,wsm,51188.626675,51188.631924,0.005249
span,wsm.wait_group_ready,wsm,51359.063223,51359.067455,0.004232
span,wsm.wait_group_ready,wsm,51732.07906,51732.085115,0.006055
span,wsm.wait_group_ready,wsm,51911.694865,51911.698292,0.003427
span,wsm.wait_group_ready,wsm,52286.277291,52286.282203,0.004912
span,wsm.wait_group_ready,wsm,52468.760902,52468.764984,0.004082
span,wsm.wait_group_ready,wsm,52846.826619,52846.831458,0.004839
span,wsm.wait_group_ready,wsm,53017.646134,53017.649663,0.003529
span,wsm.wait_group_ready,wsm,53390.360533,53390.365849,0.005316
span,wsm.wait_group_ready,wsm,53562.658279,53562.663596,0.005317
span,wsm.wait_group_ready,wsm,53935.277451,53935.282929,0.005478
span,wsm.wait_group_ready,wsm,54116.123785,54116.128093,0.004308
span,wsm.wait_group_ready,wsm,54490.041859,54490.047673,0.005814
span,wsm.wait_group_ready,wsm,54659.476415,54659.480727,0.004312
span,wsm.wait_group_ready,wsm,55033.329254,55033.334808,0.005554
span,wsm.wait_group_ready,wsm,55219.240688,55219.244022,0.003334
span,wsm.wait_group_ready,wsm,55595.98275,55595.988514,0.005764
span,wsm.wait_group_ready,wsm,55766.971789,55766.975669,0.00388
span,wsm.wait_group_ready,wsm,56146.81372,56146.819339,0.005619
span,wsm.wait_group_ready,wsm,56325.022817,56325.02712,0.004303
span,wsm.wait_group_ready,wsm,56698.242485,56698.248441,0.005956
span,wsm.wait_group_ready,wsm,56869.395829,56869.400111,0.004282
span,wsm.wait_group_ready,wsm,57242.700702,57242.706383,0.005681
span,wsm.wait_group_ready,wsm,57416.610808,57416.61601,0.005202
span,wsm.wait_group_ready,wsm,57792.021844,57792.027665,0.005821
span,wsm.wait_group_ready,wsm,57970.964416,57970.968225,0.003809
span,wsm.wait_group_ready,wsm,58062.288301,58062.294741,0.00644
span,wsm.wait_group_ready,wsm,58524.154556,58524.15956,0.005004
span,wsm.wait_group_ready,wsm,59158.386107,59158.391584,0.005477
span,wsm.wait_group_ready,wsm,59348.359741,59348.370957,0.011216
span,wsm.wait_group_ready,wsm,59437.462704,59437.470715,0.008011
span,wsm.wait_group_ready,wsm,59913.998387,59914.002829,0.004442
span,wsm.wait_group_ready,wsm,60287.927393,60287.932802,0.005409
span,wsm.wait_group_ready,wsm,60466.00931,60466.018357,0.009047
span,wsm.wait_group_ready,wsm,60830.36596,60830.370949,0.004989
span,wsm.wait_group_ready,wsm,61017.484559,61017.493607,0.009048
span,wsm.wait_group_ready,wsm,61103.726978,61103.737165,0.010187
span,wsm.wait_group_ready,wsm,61548.39246,61548.401974,0.009514
span,wsm.wait_group_ready,wsm,61917.89195,61917.897031,0.005081
span,wsm.wait_group_ready,wsm,62095.247401,62095.261094,0.013693
span,wsm.wait_group_ready,wsm,62181.909748,62181.939533,0.029785
span,wsm.wait_group_ready,wsm,62648.616902,62648.625279,0.008377
span,wsm.wait_group_ready,wsm,62737.077213,62737.084375,0.007162
span,wsm.wait_group_ready,wsm,63182.189302,63182.205023,0.015721
span,wsm.wait_group_ready,wsm,63548.857629,63548.863271,0.005642
span,wsm.wait_group_ready,wsm,63741.715768,63741.724875,0.009107
span,wsm.wait_group_ready,wsm,64203.73316,64203.739117,0.005957
span,wsm.wait_group_ready,wsm,64372.737393,64372.742198,0.004805
span,wsm.wait_group_ready,wsm,64454.654538,64454.659975,0.005437
span,wsm.wait_group_ready,wsm,64646.619349,64646.626801,0.007452
span,wsm.wait_group_ready,wsm,64723.791218,64723.796485,0.005267
span,wsm.wait_group_ready,wsm,64894.732508,64894.735926,0.003418
span,wsm.wait_group_ready,wsm,64940.031872,64940.036676,0.004804
span,wsm.wait_group_ready,wsm,65189.805259,65189.808499,0.00324
span,wsm.wait_group_ready,wsm,65237.009048,65237.013591,0.004543
span,wsm.wait_group_ready,wsm,65466.351146,65466.354033,0.002887
span,wsm.wait_group_ready,wsm,65468.11851,65468.121937,0.003427
span,wsm.wait_group_ready,wsm,65729.693901,65729.696775,0.002874
span,wsm.wait_group_ready,wsm,65774.528444,65774.532171,0.003727
span,wsm.wait_group_ready,wsm,66008.866592,66008.869757,0.003165
span,wsm.wait_group_ready,wsm,66010.245436,66010.249159,0.003723
span,wsm.wait_group_ready,wsm,66267.126687,66267.130364,0.003677
span,wsm.wait_group_ready,wsm,66774.833916,66774.838671,0.004755
span,wsm.wait_group_ready,wsm,68722.258651,68722.265252,0.006601
span,wsm.wait_group_ready,wsm,69053.806585,69053.816848,0.010263
span,wsm.wait_group_ready,wsm,69490.505347,69490.508612,0.003265
span,wsm.wait_group_ready,wsm,69539.961697,69539.96937,0.007673
span,wsm.wait_group_ready,wsm,69979.51982,69979.522745,0.002925
span,wsm.wait_group_ready,wsm,70033.562055,70033.568992,0.006937
span,wsm.wait_group_ready,wsm,70480.898192,70480.901426,0.003234
span,wsm.wait_group_ready,wsm,70535.734892,70535.740215,0.005323
span,wsm.wait_group_ready,wsm,71038.04256,71038.045586,0.003026
span,wsm.wait_group_ready,wsm,71350.792356,71350.797901,0.005545
span,wsm.wait_group_ready,wsm,71591.449971,71591.453807,0.003836
span,wsm.wait_group_ready,wsm,71605.380873,71605.384306,0.003433
span,wsm.wait_group_ready,wsm,72165.279081,72165.282079,0.002998
span,wsm.wait_group_ready,wsm,72219.675388,72219.683212,0.007824
span,wsm.wait_group_ready,wsm,72702.548366,72702.551951,0.003585
span,wsm.wait_group_ready,wsm,72756.676113,72756.683039,0.006926
span,wsm.wait_group_ready,wsm,73245.196914,73245.200688,0.003774
span,wsm.wait_group_ready,wsm,73298.172899,73298.180625,0.007726
span,wsm.wait_group_ready,wsm,73785.180475,73785.183282,0.002807
span,wsm.wait_group_ready,wsm,73799.076442,73799.080103,0.003661
span,wsm.wait_group_ready,wsm,74351.615495,74351.618402,0.002907
span,wsm.wait_group_ready,wsm,74406.028374,74406.035225,0.006851
span,wsm.wait_group_ready,wsm,74898.228266,74898.231588,0.003322
span,wsm.wait_group_ready,wsm,74952.766115,74952.773588,0.007473
span,wsm.wait_group_ready,wsm,75444.940752,75444.943626,0.002874
span,wsm.wait_group_ready,wsm,75498.718231,75498.72577,0.007539
span,wsm.wait_group_ready,wsm,75985.768221,75985.771407,0.003186
span,wsm.wait_group_ready,wsm,75999.966753,75999.970066,0.003313
span,wsm.wait_group_ready,wsm,76555.250315,76555.25372,0.003405
span,wsm.wait_group_ready,wsm,76867.127892,76867.133187,0.005295
span,wsm.wait_group_ready,wsm,77102.391,77102.394852,0.003852
span,wsm.wait_group_ready,wsm,77116.22973,77116.232843,0.003113
span,wsm.wait_group_ready,wsm,77669.22394,77669.227124,0.003184
span,wsm.wait_group_ready,wsm,77723.537604,77723.544568,0.006964
span,wsm.wait_group_ready,wsm,78214.615396,78214.618445,0.003049
span,wsm.wait_group_ready,wsm,78256.034255,78256.040888,0.006633
span,wsm.wait_group_ready,wsm,78753.613582,78753.616663,0.003081
