kind,name,cat,t_start_ms,t_end_ms,dur_ms
span,wsm.wait_group_ready,wsm,45310.702142,45310.707927,0.005785
span,wsm.wait_group_ready,wsm,45479.810592,45479.814563,0.003971
span,wsm.wait_group_ready,wsm,45854.390535,45854.396122,0.005587
span,wsm.wait_group_ready,wsm,46022.528429,46022.533263,0.004834
span,wsm.wait_group_ready,wsm,46395.278087,46395.283302,0.005215
span,wsm.wait_group_ready,wsm,46566.572523,46566.576748,0.004225
span,wsm.wait_group_ready,wsm,46945.62817,46945.633627,0.005457
span,wsm.wait_group_ready,wsm,47120.144631,47120.148839,0.004208
span,wsm.wait_group_ready,wsm,47495.603252,47495.608447,0.005195
span,wsm.wait_group_ready,wsm,47664.134666,47664.13993,0.005264
span,wsm.wait_group_ready,wsm,48037.847387,48037.854347,0.00696
span,wsm.wait_group_ready,wsm,48206.834789,48206.839114,0.004325
span,wsm.wait_group_ready,wsm,48568.985482,48568.990526,0.005044
span,wsm.wait_group_ready,wsm,48751.525892,48751.529089,0.003197
span,wsm.wait_group_ready,wsm,49124.954222,49124.96036,0.006138
span,wsm.wait_group_ready,wsm,49308.164703,49308.168517,0.003814
span,wsm.wait_group_ready,wsm,49676.582289,49676.588058,0.005769
span,wsm.wait_group_ready,wsm,49848.83324,49848.840278,0.007038
span,wsm.wait_group_ready,wsm,50239.953759,50239.959712,0.005953
span,wsm.wait_group_ready,wsm,50428.196336,50428.201135,0.004799
span,wsm.wait_group_ready,wsm,50792.509095,50792.514417,0.005322
span,wsm.wait_group_ready,wsm,50979.705126,50979.710046,0.00492
span,wsm.wait_group_ready,wsm,51352.894834,51352.89943,0.004596
span,wsm.wait_group_ready,wsm,51521.878397,51521.882319,0.003922
span,wsm.wait_group_ready,wsm,51894.832922,51894.837535,0.004613
span,wsm.wait_group_ready,wsm,52076.820944,52076.830379,0.009435
span,wsm.wait_group_ready,wsm,52451.821749,52451.828842,0.007093
span,wsm.wait_group_ready,wsm,52629.022472,52629.027498,0.005026
span,wsm.wait_group_ready,wsm,53005.637704,53005.644113,0.006409
span,wsm.wait_group_ready,wsm,53186.099959,53186.104069,0.00411
span,wsm.wait_group_ready,wsm,53560.021361,53560.027384,0.006023
span,wsm.wait_group_ready,wsm,53737.752532,53737.758603,0.006071
span,wsm.wait_group_ready,wsm,54112.514222,54112.521227,0.007005
span,wsm.wait_group_ready,wsm,54287.578791,54287.583832,0.005041
span,wsm.wait_group_ready,wsm,54660.138107,54660.143311,0.005204
span,wsm.wait_group_ready,wsm,54832.784216,54832.788618,0.004402
span,wsm.wait_group_ready,wsm,55205.879642,55205.886632,0.00699
span,wsm.wait_group_ready,wsm,55392.857768,55392.861808,0.00404
span,wsm.wait_group_ready,wsm,55769.738036,55769.743452,0.005416
span,wsm.wait_group_ready,wsm,55951.646663,55951.650834,0.004171
span,wsm.wait_group_ready,wsm,56327.111051,56327.11679,0.005739
span,wsm.wait_group_ready,wsm,56508.510932,56508.520417,0.009485
span,wsm.wait_group_ready,wsm,56900.951203,56900.956873,0.00567
span,wsm.wait_group_ready,wsm,57348.061398,57348.0666,0.005202
span,wsm.wait_group_ready,wsm,57721.226873,57721.232299,0.005426
span,wsm.wait_group_ready,wsm,57901.6273,57901.639246,0.011946
span,wsm.wait_group_ready,wsm,58264.402018,58264.407233,0.005215
span,wsm.wait_group_ready,wsm,58450.088819,58450.095424,0.006605
span,wsm.wait_group_ready,wsm,58812.817689,58812.825538,0.007849
span,wsm.wait_group_ready,wsm,58988.283641,58988.290526,0.006885
span,wsm.wait_group_ready,wsm,59355.478027,59355.485721,0.007694
span,wsm.wait_group_ready,wsm,59533.536673,59533.544389,0.007716
span,wsm.wait_group_ready,wsm,59896.70274,59896.70924,0.0065
span,wsm.wait_group_ready,wsm,60097.676009,60097.689141,0.013132
span,wsm.wait_group_ready,wsm,60185.435739,60185.442682,0.006943
span,wsm.wait_group_ready,wsm,60650.983253,60650.992256,0.009003
span,wsm.wait_group_ready,wsm,61008.589298,61008.594578,0.00528
span,wsm.wait_group_ready,wsm,61205.709154,61205.715401,0.006247
span,wsm.wait_group_ready,wsm,61294.090907,61294.098472,0.007565
span,wsm.wait_group_ready,wsm,61738.588327,61738.601701,0.013374
span,wsm.wait_group_ready,wsm,61833.172746,61833.180724,0.007978
span,wsm.wait_group_ready,wsm,62275.631503,62275.635496,0.003993
span,wsm.wait_group_ready,wsm,62643.310321,62643.315812,0.005491
span,wsm.wait_group_ready,wsm,62822.359902,62822.36832,0.008418
span,wsm.wait_group_ready,wsm,62900.276594,62900.282432,0.005838
span,wsm.wait_group_ready,wsm,63081.988829,63081.997903,0.009074
span,wsm.wait_group_ready,wsm,63159.901757,63159.908029,0.006272
span,wsm.wait_group_ready,wsm,63342.348862,63342.35216,0.003298
span,wsm.wait_group_ready,wsm,63388.718803,63388.72395,0.005147
span,wsm.wait_group_ready,wsm,63621.67688,63621.679635,0.002755
span,wsm.wait_group_ready,wsm,63668.105956,63668.110707,0.004751
span,wsm.wait_group_ready,wsm,63898.564403,63898.567214,0.002811
span,wsm.wait_group_ready,wsm,63900.473663,63900.479021,0.005358
span,wsm.wait_group_ready,wsm,64178.169139,64178.171941,0.002802
span,wsm.wait_group_ready,wsm,64223.480217,64223.48435,0.004133
span,wsm.wait_group_ready,wsm,64473.574007,64473.576873,0.002866
span,wsm.wait_group_ready,wsm,64475.608275,64475.611896,0.003621
span,wsm.wait_group_ready,wsm,64735.108009,64735.111108,0.003099
span,wsm.wait_group_ready,wsm,65111.221655,65111.226161,0.004506
span,wsm.wait_group_ready,wsm,65780.555761,65780.560778,0.005017
span,wsm.wait_group_ready,wsm,66646.81472,66646.820333,0.005613
span,wsm.wait_group_ready,wsm,67398.011465,67398.018994,0.007529
span,wsm.wait_group_ready,wsm,67979.198761,67979.204355,0.005594
span,wsm.wait_group_ready,wsm,68170.101535,68170.105008,0.003473
span,wsm.wait_group_ready,wsm,68796.956173,68796.976273,0.0201
span,wsm.wait_group_ready,wsm,69229.625007,69229.62836,0.003353
span,wsm.wait_group_ready,wsm,69283.592962,69283.614305,0.021343
span,wsm.wait_group_ready,wsm,69800.101324,69800.10434,0.003016
span,wsm.wait_group_ready,wsm,69854.631886,69854.636469,0.004583
span,wsm.wait_group_ready,wsm,70106.987712,70106.99056,0.002848
span,wsm.wait_group_ready,wsm,70152.781571,70152.785097,0.003526
span,wsm.wait_group_ready,wsm,70392.291087,70392.29422,0.003133
span,wsm.wait_group_ready,wsm,70447.496702,70447.503232,0.00653
span,wsm.wait_group_ready,wsm,70944.461364,70944.465333,0.003969
